"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5440",-2.1244934825246,0.0817918053875616,-25.9744050453211,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142400496790118,5440
"scaled_rainfall_deviation:factor(COD_MUNI)5467",-2.09515327332402,0.0836574598548351,-25.0444285179061,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028131391552516,5467
"scaled_rainfall_deviation:factor(COD_MUNI)5475",-2.08700284925343,0.0713476711563546,-29.2511698760268,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000812107292975531,5475
"scaled_rainfall_deviation:factor(COD_MUNI)5480",-2.13524488109809,0.0725225455866273,-29.4424976926323,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000298854781464595,5480
"scaled_rainfall_deviation:factor(COD_MUNI)5483",-2.07611358370847,0.0754308010913089,-27.5234195271947,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150569928810869,5483
"scaled_rainfall_deviation:factor(COD_MUNI)5490",-2.09691914131331,0.0894712008782365,-23.436805594764,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000233448679499082,5490
"scaled_rainfall_deviation:factor(COD_MUNI)5495",-2.07742378316278,0.075413242529878,-27.5472014393191,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000782901189779454,5495
"scaled_rainfall_deviation:factor(COD_MUNI)5501",-2.09509252529524,0.104864653151753,-19.9790154482594,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000961669090282811,5501
"scaled_rainfall_deviation:factor(COD_MUNI)5541",-2.06199618444878,0.0776784106801856,-26.5452931695314,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000445406449801426,5541
"scaled_rainfall_deviation:factor(COD_MUNI)5543",-2.07212329087181,0.0987585754179073,-20.9817049517311,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113829808191259,5543
"scaled_rainfall_deviation:factor(COD_MUNI)5576",-2.08829533252322,0.0797180026649151,-26.1960317959937,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000441509911902022,5576
