"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5579",-2.12069828794723,0.0813902255357713,-26.0559333014156,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171064585330945,5579
"scaled_rainfall_deviation:factor(COD_MUNI)5585",-2.05173565584416,0.0763180822605218,-26.8840043548302,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000528592140194311,5585
"scaled_rainfall_deviation:factor(COD_MUNI)5591",-2.06799048611714,0.0767254873269224,-26.9531098226273,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000824380337739634,5591
"scaled_rainfall_deviation:factor(COD_MUNI)5604",-2.17995136102011,0.0853840971571302,-25.5311168426176,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128107925730015,5604
"scaled_rainfall_deviation:factor(COD_MUNI)5607",-2.07638041131275,0.08325279811613,-24.9406681612838,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000375672169384022,5607
"scaled_rainfall_deviation:factor(COD_MUNI)5615",-2.16797746548565,0.0829447341121925,-26.1376142643752,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203336320116854,5615
"scaled_rainfall_deviation:factor(COD_MUNI)5628",-2.12336606433881,0.0998303446922442,-21.2697458962473,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000258040079209277,5628
"scaled_rainfall_deviation:factor(COD_MUNI)5642",-2.17384845118298,0.083083568500538,-26.1646013816668,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100458046810563,5642
"scaled_rainfall_deviation:factor(COD_MUNI)5647",-2.11681549445306,0.0917544915473345,-23.0704291283771,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116994351669845,5647
"scaled_rainfall_deviation:factor(COD_MUNI)5649",-2.05541224994052,0.0728530867279809,-28.2131113759809,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000694734782783314,5649
"scaled_rainfall_deviation:factor(COD_MUNI)5652",-2.07210921385228,0.0711987949545208,-29.1031500628046,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000605318333494814,5652
"scaled_rainfall_deviation:factor(COD_MUNI)5656",-2.05798957766821,0.108360600688423,-18.9920465980591,0.000000000000000000000000000000000000000000000000000000000000000000000000000000022193134548389,5656
"scaled_rainfall_deviation:factor(COD_MUNI)5658",-2.08886290501617,0.0989800126141685,-21.1038860255425,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868669356623497,5658
"scaled_rainfall_deviation:factor(COD_MUNI)5659",-2.05186005172457,0.0932855612924309,-21.9954730753285,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000389008168304075,5659
"scaled_rainfall_deviation:factor(COD_MUNI)5660",-2.08641701688042,0.070073687668152,-29.7746142141265,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163215569298593,5660
"scaled_rainfall_deviation:factor(COD_MUNI)5664",-2.11439759944716,0.102009893010554,-20.7273778752853,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229900072183868,5664
"scaled_rainfall_deviation:factor(COD_MUNI)5665",-2.06509977316699,0.102085655123168,-20.2290887066886,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000626995948267423,5665
"scaled_rainfall_deviation:factor(COD_MUNI)5667",-2.07136752230128,0.0734192790959767,-28.2128556396406,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000699758069658962,5667
"scaled_rainfall_deviation:factor(COD_MUNI)5670",-2.07284519771444,0.0770523443574552,-26.9017797576446,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000327899857562848,5670
"scaled_rainfall_deviation:factor(COD_MUNI)5674",-2.09087771453905,0.0844186029719542,-24.7679734197175,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274132239997406,5674
"scaled_rainfall_deviation:factor(COD_MUNI)5679",-2.10640194036286,0.0800590593891891,-26.3106006544876,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000218702178899305,5679
